index,22nd,name,party,committee,region,gender,times,election,en_name
1,제22대,강경숙,조국혁신당,교육위원회,비례대표,여,초선,비례대표,KANGKYUNGSOOK
2,제22대,강대식,국민의힘,국방위원회,대구 동구군위군을,남,재선,지역구,KANGDAESIK
3,제22대,강득구,더불어민주당,환경노동위원회,경기 안양시만안구,남,재선,지역구,KANGDEUKGU
4,제22대,강명구,국민의힘,"국회운영위원회, 정무위원회",경북 구미시을,남,초선,지역구,KANGMYOUNGGU
5,제22대,강민국,국민의힘,"국회운영위원회, 정무위원회",경남 진주시을,남,재선,지역구,KANGMINKUK
6,제22대,강선영,국민의힘,국방위원회,비례대표,여,초선,비례대표,KANGSUNYOUNG
7,제22대,강선우,더불어민주당,보건복지위원회,서울 강서구갑,여,재선,지역구,KANGSUNWOO
8,제22대,강승규,국민의힘,"산업통상자원중소벤처기업위원회, 예산결산특별위원회, 국회운영위원회",충남 홍성군예산군,남,재선,지역구,KangSeungKyoo
9,제22대,강유정,더불어민주당,"국회운영위원회, 문화체육관광위원회",비례대표,여,초선,비례대표,KANGYUJUNG
10,제22대,강준현,더불어민주당,정무위원회,세종특별자치시을,남,재선,지역구,KANGJUNHYEON
11,제22대,강훈식,더불어민주당,정무위원회,충남 아산시을,남,3선,지역구,KANGHOONSIK
12,제22대,고동진,국민의힘,산업통상자원중소벤처기업위원회,서울 강남구병,남,초선,지역구,KOHDONGJIN
13,제22대,고민정,더불어민주당,"교육위원회, 국회운영위원회",서울 광진구을,여,재선,지역구,KOMINJUNG
14,제22대,곽규택,국민의힘,"법제사법위원회, 예산결산특별위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회",부산 서구동구,남,초선,지역구,KWAKKYUTAEK
15,제22대,곽상언,더불어민주당,산업통상자원중소벤처기업위원회,서울 종로구,남,초선,지역구,KWAKSANGEON
16,제22대,구자근,국민의힘,"기획재정위원회, 예산결산특별위원회",경북 구미시갑,남,재선,지역구,KUJAKEUN
17,제22대,권성동,국민의힘,정무위원회,강원 강릉시,남,5선,지역구,KWEONSEONGDONG
18,제22대,권영세,국민의힘,"국토교통위원회, 정보위원회",서울 용산구,남,5선,지역구,KWONYOUNGSE
19,제22대,권영진,국민의힘,"국토교통위원회, 국회운영위원회",대구 달서구병,남,재선,지역구,KwonYoungJin
20,제22대,권칠승,더불어민주당,외교통일위원회,경기 화성시병,남,3선,지역구,KWONCHILSEUNG
21,제22대,권향엽,더불어민주당,"산업통상자원중소벤처기업위원회, 예산결산특별위원회",전남 순천시광양시곡성군구례군을,여,초선,지역구,KWONHYANGYUP
22,제22대,김건,국민의힘,외교통일위원회,비례대표,남,초선,비례대표,KIMGUNN
